国,ポジション,選手名,所属チーム名,チームランキング,チームパワー,エリア,小さい
フランス,GK,ロビン・リセール,ナポリ,33,91,ヨーロッパ,イタリア
アメリカ,FW,ハジ・ライト,コヴェントリー・シティ,34,90.9,ヨーロッパ,イングランド
ガーナ,FW,ブランドン・トーマス＝アサンテ,コヴェントリー・シティ,34,90.9,ヨーロッパ,イングランド
アルゼンチン,FW,ホセ・マヌエル・ロペス,フラメンゴ,35,90.7,南アメリカ,ブラジル
ウルグアイ,MF,エミリアーノ・マルティネス,フラメンゴ,35,90.7,南アメリカ,ブラジル
オーストリア,MF,ザヴェル・シュラーガー,フラメンゴ,35,90.7,南アメリカ,ブラジル
オーストリア,MF,ニコラス・ザイヴァルト,フラメンゴ,35,90.7,南アメリカ,ブラジル
コートジボワール,FW,ヤン・ディオマンデ,フラメンゴ,35,90.7,南アメリカ,ブラジル
ドイツ,MF,アサン・ウエドラオゴ,フラメンゴ,35,90.7,南アメリカ,ブラジル
ドイツ,DF,ダビド・ラウム,フラメンゴ,35,90.7,南アメリカ,ブラジル
ノルウェー,MF,アントニオ・ヌサ,フラメンゴ,35,90.7,南アメリカ,ブラジル
ハイチ,GK,ジョズエ・デュヴェルジェ,フラメンゴ,35,90.7,南アメリカ,ブラジル
ウルグアイ,DF,ホアキン・ピケレス,アタランタ,36,90.7,ヨーロッパ,イタリア
エクアドル,FW,ケビン・ロドリゲス,アタランタ,36,90.7,ヨーロッパ,イタリア
カナダ,FW,プロミス・デイビッド,アタランタ,36,90.7,ヨーロッパ,イタリア
コロンビア,MF,ジョン・アリアス,アタランタ,36,90.7,ヨーロッパ,イタリア
スウェーデン,MF,ベスフォルト・ゼネリ,アタランタ,36,90.7,ヨーロッパ,イタリア
パラグアイ,DF,グスタボ・ゴメス,アタランタ,36,90.7,ヨーロッパ,イタリア
パラグアイ,MF,マウリシオ・マガリャンイス,アタランタ,36,90.7,ヨーロッパ,イタリア
パラグアイ,FW,ラモン・ソサ,アタランタ,36,90.7,ヨーロッパ,イタリア
ウルグアイ,DF,ギジェルモ・バレラ,イプスウィッチ・タウン,37,89.6,ヨーロッパ,イングランド
ウルグアイ,MF,ジョルジアン・デ・アラスカエタ,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
ウルグアイ,MF,ニコラス・デ・ラ・クルス,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
エクアドル,MF,ゴンサロ・プラタ,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
コロンビア,MF,ホルヘ・カラスカル,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
ブラジル,DF,アレックス・サンドロ,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
ブラジル,DF,ダニーロ,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
ブラジル,MF,ルーカス・パケタ,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
ブラジル,DF,レオ・ペレイラ,シュツットガルト,38,90.6,ヨーロッパ,ドイツ
アメリカ,DF,セルジーニョ・デスト,ライプツィヒ,39,90.4,ヨーロッパ,ドイツ
アメリカ,FW,リカルド・ペピ,ライプツィヒ,39,90.4,ヨーロッパ,ドイツ
オーストリア,MF,パウル・ヴァナー,ライプツィヒ,39,90.4,ヨーロッパ,ドイツ
オランダ,MF,フース・ティル,ライプツィヒ,39,90.4,ヨーロッパ,ドイツ
キュラソー,DF,アルマンド・オビスポ,ライプツィヒ,39,90.4,ヨーロッパ,ドイツ
クロアチア,FW,イヴァン・ペリシッチ,ライプツィヒ,39,90.4,ヨーロッパ,ドイツ
エクアドル,FW,ジェレミー・アレバロ,パルメイラス,40,90.4,南アメリカ,ブラジル
チェコ,GK,マチェイ・コヴァージュ,パルメイラス,40,90.4,南アメリカ,ブラジル
ドイツ,GK,アレクサンダー・ニュベル,パルメイラス,40,90.4,南アメリカ,ブラジル
ドイツ,MF,アンジェロ・スティラー,パルメイラス,40,90.4,南アメリカ,ブラジル
ボスニア・ヘルツェゴビナ,MF,エスミル・バイラクラレヴィッチ,パルメイラス,40,90.4,南アメリカ,ブラジル
モロッコ,DF,アナス・サラー＝エディン,パルメイラス,40,90.4,南アメリカ,ブラジル
モロッコ,MF,イスマイル・サイバリ,パルメイラス,40,90.4,南アメリカ,ブラジル
オランダ,MF,マルテン・デ・ローン,サンダーランド,41,90.3,ヨーロッパ,イングランド
ガーナ,MF,カマルディーン・スレマナ,サンダーランド,41,90.3,ヨーロッパ,イングランド
クロアチア,MF,マリオ・パシャリッチ,サンダーランド,41,90.3,ヨーロッパ,イングランド
コートジボワール,DF,オディロン・コスヌ,サンダーランド,41,90.3,ヨーロッパ,イングランド
スイス,DF,ルカ・ジャック,サンダーランド,41,90.3,ヨーロッパ,イングランド
スウェーデン,DF,イサク・ヒエン,サンダーランド,41,90.3,ヨーロッパ,イングランド
ドイツ,FW,ジェイミー・レウェリング,サンダーランド,41,90.3,ヨーロッパ,イングランド
ドイツ,FW,デニス・ウンダフ,サンダーランド,41,90.3,ヨーロッパ,イングランド
ボスニア・ヘルツェゴビナ,FW,エルメディン・デミロヴィッチ,サンダーランド,41,90.3,ヨーロッパ,イングランド
モロッコ,MF,ビラル・エル・カンヌス,サンダーランド,41,90.3,ヨーロッパ,イングランド
エクアドル,MF,ニルソン・アングロ,PSV,42,90.2,ヨーロッパ,オランダ
オランダ,FW,ブライアン・ブロビー,PSV,42,90.2,ヨーロッパ,オランダ
オランダ,DF,ルチャレル・ヘルトライダ,PSV,42,90.2,ヨーロッパ,オランダ
オランダ,GK,ロビン_ルーフス,PSV,42,90.2,ヨーロッパ,オランダ
コンゴ民主共和国,MF,ノア・サディキ,PSV,42,90.2,ヨーロッパ,オランダ
スイス,MF,グラニト・ジャカ,PSV,42,90.2,ヨーロッパ,オランダ
スコットランド,FW,ジョージ・ハースト,PSV,42,90.2,ヨーロッパ,オランダ
ブラジル,MF,エデルソン,PSV,42,90.2,ヨーロッパ,オランダ
ベルギー,FW,シャルル・デ・ケテラーレ,PSV,42,90.2,ヨーロッパ,オランダ
ボスニア・ヘルツェゴビナ,DF,セアド・コラシナツ,PSV,42,90.2,ヨーロッパ,オランダ
アメリカ,FW,クリスチャン・プリシッチ,ミラン,43,90.2,ヨーロッパ,イタリア
エクアドル,DF,ペルビス・エストゥピニャン,ミラン,43,90.2,ヨーロッパ,イタリア
クロアチア,MF,ルカ・モドリッチ,ミラン,43,90.2,ヨーロッパ,イタリア
スイス,MF,アルドン・ヤシャリ,ミラン,43,90.2,ヨーロッパ,イタリア
セネガル,MF,アビブ・ディアラ,ミラン,43,90.2,ヨーロッパ,イタリア
ハイチ,FW,ウィルソン・イジドール,ミラン,43,90.2,ヨーロッパ,イタリア
パラグアイ,DF,オマル・アルデレテ,ミラン,43,90.2,ヨーロッパ,イタリア
フランス,MF,アドリアン・ラビオ,ミラン,43,90.2,ヨーロッパ,イタリア
フランス,GK,マイク・メニャン,ミラン,43,90.2,ヨーロッパ,イタリア
モロッコ,MF,ケムズダイン・タルビ,ミラン,43,90.2,ヨーロッパ,イタリア
ベルギー,MF,アレクシス・サーレマーケルス,ユニオン・サン=ジロワーズ,44,90.2,ヨーロッパ,ベルギー
ベルギー,DF,コニ・デ・ヴィンター,ユニオン・サン=ジロワーズ,44,90.2,ヨーロッパ,ベルギー
ポルトガル,FW,ラファエウ・レオン,ユニオン・サン=ジロワーズ,44,90.2,ヨーロッパ,ベルギー
ノルウェー,MF,イェンス・ペッター・ハウゲ,ボデ/グリムト,45,90.2,ヨーロッパ,ノルウェー
ノルウェー,MF,パトリック・ベルグ,ボデ/グリムト,45,90.2,ヨーロッパ,ノルウェー
メキシコ,FW,サンティアゴ・ヒメネス,ボデ/グリムト,45,90.2,ヨーロッパ,ノルウェー
アメリカ,DF,アレックス・フリーマン,ビジャレアル,46,89.7,ヨーロッパ,スペイン
ガーナ,MF,トーマス・パーテイ,ビジャレアル,46,89.7,ヨーロッパ,スペイン
カーボベルデ,DF,ローガン・コスタ,ビジャレアル,46,89.7,ヨーロッパ,スペイン
カナダ,MF,タジョン・ブキャナン,ビジャレアル,46,89.7,ヨーロッパ,スペイン
カナダ,FW,タニトルワ・オルワセイ,ビジャレアル,46,89.7,ヨーロッパ,スペイン
コートジボワール,FW,ニコラ・ペペ,ビジャレアル,46,89.7,ヨーロッパ,スペイン
セネガル,MF,パプ・ゲイェ,ビジャレアル,46,89.7,ヨーロッパ,スペイン
ノルウェー,DF,フレドリク・ビェルカン,ビジャレアル,46,89.7,ヨーロッパ,スペイン
アルゼンチン,DF,ニコラス・タグリアフィコ,ハル・シティAFC,47,89.4,ヨーロッパ,イングランド
ガーナ,FW,アーネスト・ヌアマー,ハル・シティAFC,47,89.4,ヨーロッパ,イングランド
セネガル,DF,ムサ・ニアカテ,ハル・シティAFC,47,89.4,ヨーロッパ,イングランド
ポルトガル,DF,レナト・ヴェイガ,ハル・シティAFC,47,89.4,ヨーロッパ,イングランド
アルジェリア,DF,アイサ・マンディ,リール,48,89.4,ヨーロッパ,フランス
アルジェリア,MF,ナビル・ベンタレブ,リール,48,89.4,ヨーロッパ,フランス
カナダ,DF,アルフィー・ジョーンズ,リール,48,89.4,ヨーロッパ,フランス
カナダ,MF,リアム・ミラー,リール,48,89.4,ヨーロッパ,フランス
クロアチア,GK,イヴォル・パンドゥル,リール,48,89.4,ヨーロッパ,フランス
チェコ,FW,パヴェル・シュルツ,リール,48,89.4,ヨーロッパ,フランス
ブラジル,FW,エンドリク,リール,48,89.4,ヨーロッパ,フランス
ボスニア・ヘルツェゴビナ,MF,アミル・ハジアフメトヴィッチ,リール,48,89.4,ヨーロッパ,フランス
ベルギー,DF,トーマス・ムニエ,オモニア,49,89.1,ヨーロッパ,キプロス
コンゴ民主共和国,DF,シャンセル・ムベンバ,オリンピック・リヨン,50,89.1,ヨーロッパ,フランス
コンゴ民主共和国,MF,ヌガライェル・ムカウ,オリンピック・リヨン,50,89.1,ヨーロッパ,フランス
ベルギー,DF,ナタン・ンゴイ,オリンピック・リヨン,50,89.1,ヨーロッパ,フランス
ベルギー,FW,マティアス・フェルナンデス＝パルド,オリンピック・リヨン,50,89.1,ヨーロッパ,フランス
モロッコ,MF,アイユーブ・ブアディ,オリンピック・リヨン,50,89.1,ヨーロッパ,フランス
アメリカ,FW,フォラリン・バログン,モナコ,51,89,ヨーロッパ,モナコ
コートジボワール,FW,シモン・アディングラ,モナコ,51,89,ヨーロッパ,モナコ
コンゴ民主共和国,FW,セドリック・バカンブ,モナコ,51,89,ヨーロッパ,モナコ
スイス,MF,デニス・ザカリア,モナコ,51,89,ヨーロッパ,モナコ
セネガル,DF,クレパン・ディアッタ,モナコ,51,89,ヨーロッパ,モナコ
セネガル,MF,ラミン・カマラ,モナコ,51,89,ヨーロッパ,モナコ
アルゼンチン,MF,ジオヴァニ・ロ・チェルソ,レアル・ベティス,52,88.9,ヨーロッパ,スペイン
コロンビア,FW,クチョ・エルナンデス,レアル・ベティス,52,88.9,ヨーロッパ,スペイン
スイス,DF,リカルド・ロドリゲス,レアル・ベティス,52,88.9,ヨーロッパ,スペイン
フランス,FW,マグネス・アクリウシュ,レアル・ベティス,52,88.9,ヨーロッパ,スペイン
メキシコ,MF,アルバロ・フィダルゴ,レアル・ベティス,52,88.9,ヨーロッパ,スペイン
モロッコ,MF,ソフィアン・アムラバト,レアル・ベティス,52,88.9,ヨーロッパ,スペイン
アメリカ,FW,ティモシー・ウェア,マルセイユ,53,88.7,ヨーロッパ,フランス
オーストリア,DF,フィリップ・ラインハルト,マルセイユ,53,88.7,ヨーロッパ,フランス
クロアチア,FW,イゴール・マタノヴィッチ,マルセイユ,53,88.7,ヨーロッパ,フランス
スイス,MF,ヨハン・マンザンビ,マルセイユ,53,88.7,ヨーロッパ,フランス
日本,MF/FW,鈴木唯人,マルセイユ,53,88.7,ヨーロッパ,フランス
アルジェリア,FW,アミーヌ・グイリ,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
アルゼンチン,DF,ファクンド・メディナ,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
アルゼンチン,GK,ヘロニモ・ルジ,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
オランダ,MF,クインテン・ティンバー,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
ガーナ,DF,アリドゥ・セイドゥ,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
クロアチア,GK,ドミニク・リヴァコヴィッチ,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
スイス,FW,ブレール・エンボロ,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
スコットランド,DF,スコット・マッケンナ,ホッフェンハイム,54,88.7,ヨーロッパ,ドイツ
オランダ,FW,ノア・ラング,レンヌ,55,88.6,ヨーロッパ,フランス
コートジボワール,DF,ウィルフリード・シンゴ,レンヌ,55,88.6,ヨーロッパ,フランス
フランス,GK,ブライス・サンバ,レンヌ,55,88.6,ヨーロッパ,フランス
ヨルダン,FW,ムサ・アル・ターマリ,レンヌ,55,88.6,ヨーロッパ,フランス
オーストリア,DF,アレクサンダー・プラス,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
コロンビア,DF,ダビンソン・サンチェス,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
セネガル,DF,イスマイル・ヤコブス,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
ドイツ,FW,レロイ・サネ,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
トルコ,DF,アブデュルケリム・バルダクチ,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
トルコ,GK,ウウルジャン・チャクル,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
トルコ,DF,エレン・エルマル,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
トルコ,MF,カーン・アイハン,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
トルコ,FW,バルシュ・アルペル・ユルマズ,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
トルコ,FW,ユヌス・アクギュン,スラヴィア・プラハ,56,88.5,ヨーロッパ,チェコ
クロアチア,FW,アンドレイ・クラマリッチ,ディナモ・ザグレブ,57,88.5,ヨーロッパ,クロアチア
コートジボワール,FW,バズマナ・トゥーレ,ディナモ・ザグレブ,57,88.5,ヨーロッパ,クロアチア
チェコ,FW,アダム・ハロジェク,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
チェコ,DF,ヴラディミール・ツォウファル,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
チェコ,DF,ロビン・フラナーチ,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
ドイツ,GK,オリバー・バウマン,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
トルコ,DF,オザン・カバク,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
トルコ,MF,イスマイル・ユクセク,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
トルコ,FW,オウズ・アイドゥン,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
トルコ,FW,ケレム・アクトゥルコール,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
トルコ,DF,チャーラル・ソユンジュ,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
トルコ,GK,メルト・ギュノク,フェネルバフチェ,58,88.4,ヨーロッパ,トルコ
トルコ,DF,メルト・ムルドゥル,フライブルク,59,88.3,ヨーロッパ,ドイツ
ブラジル,GK,エデルソン,フライブルク,59,88.3,ヨーロッパ,ドイツ
フランス,MF,エンゴロ・カンテ,フライブルク,59,88.3,ヨーロッパ,ドイツ
ポルトガル,DF,ネルソン・セメド,フライブルク,59,88.3,ヨーロッパ,ドイツ
ウルグアイ,MF,ロドリゴ・サラサール,オリンピアコス,61,88.2,ヨーロッパ,ギリシャ
メキシコ,DF,エドソン・アルバレス,オリンピアコス,61,88.2,ヨーロッパ,ギリシャ
エクアドル,MF,デニル・カスティージョ,ガラタサライ,62,88.1,ヨーロッパ,トルコ
オーストリア,MF,フロリアン・グリリッチュ,ガラタサライ,62,88.1,ヨーロッパ,トルコ
カーボベルデ,FW,ウィリー・セメド,ガラタサライ,62,88.1,ヨーロッパ,トルコ
クロアチア,MF,ニコラ・モロ,ガラタサライ,62,88.1,ヨーロッパ,トルコ
クロアチア,DF,マルティン・エルリッチ,ガラタサライ,62,88.1,ヨーロッパ,トルコ
コロンビア,DF,ジョン・ルクミ,ガラタサライ,62,88.1,ヨーロッパ,トルコ
スイス,MF,レモ・フロイラー,ガラタサライ,62,88.1,ヨーロッパ,トルコ
スウェーデン,DF,グスタフ・ラゲルビエルケ,ガラタサライ,62,88.1,ヨーロッパ,トルコ
スコットランド,MF,ルイス・ファーガソン,ガラタサライ,62,88.1,ヨーロッパ,トルコ
チェコ,GK,ルカーシュ・ホルニーチェク,ガラタサライ,62,88.1,ヨーロッパ,トルコ
ノルウェー,DF,トールビェルン・ヘッゲム,ガラタサライ,62,88.1,ヨーロッパ,トルコ
ニュージーランド,MF,ジョー・ベル,ヴァイキングFK,63,88.1,ヨーロッパ,ノルウェー
韓国,DF,イ・ハンボム,ヴァイキングFK,63,88.1,ヨーロッパ,ノルウェー
韓国,FW,チョ・ギュソン,バレンシア,64,88.1,ヨーロッパ,スペイン
アルゼンチン,MF,バレンティン・バルコ,ブラガ,65,88.1,ヨーロッパ,ポルトガル
イラン,FW,メフディ・タレミ,ブラガ,65,88.1,ヨーロッパ,ポルトガル
コートジボワール,DF,ゲラ・ドゥエ,プラガ,65,88.1,ヨーロッパ,ポルトガル
モロッコ,FW,アユブ・エル・カービ,ブラガ,65,88.1,ヨーロッパ,ポルトガル
パラグアイ,FW,フリオ・エンシソ,ラージョ・バジェカーノ,66,88,ヨーロッパ,スペイン
ベルギー,MF,ディエゴ・モレイラ,ラージョ・バジェカーノ,66,88,ヨーロッパ,スペイン
ウルグアイ,FW,ダルウィン・ヌニェス,ボローニャ,67,88,ヨーロッパ,イタリア
サウジアラビア,DF,アリ・ラジャミ,ボローニャ,67,88,ヨーロッパ,イタリア
ベルギー,GK,マイク・ペンダース,ボローニャ,67,88,ヨーロッパ,イタリア
モロッコ,MF,サミル・エル・ムラベ,ボローニャ,67,88,ヨーロッパ,イタリア
モロッコ,MF,ジェシム・ヤシン,ボローニャ,67,88,ヨーロッパ,イタリア
サウジアラビア,MF,サレム・アル・ドサリ,セルタ,68,87.8,ヨーロッパ,スペイン
サウジアラビア,MF,スルタン・マンダシュ,セルタ,68,87.8,ヨーロッパ,スペイン
サウジアラビア,MF,ナセル・アル・ドーサリー,インディペンディエンテ・デル・バジェ,69,87.8,南アメリカ,エクアドル
サウジアラビア,DF,ハッサーン・タムバクティ,ボカ・ジュニアーズ,70,87.8,南アメリカ,アルゼンチン
オーストリア,DF,シュテファン・ポッシュ,マインツ,71,87.7,ヨーロッパ,ドイツ
オーストリア,DF,フィリップ・ムウェネ,マインツ,71,87.7,ヨーロッパ,ドイツ
サウジアラビア,DF,モテブ・アル・ハルビ,マインツ,71,87.7,ヨーロッパ,ドイツ
スイス,DF,シルバン・ビドマー,マインツ,71,87.7,ヨーロッパ,ドイツ
ドイツ,MF,ナディエム・アミリ,マインツ,71,87.7,ヨーロッパ,ドイツ
日本,MF/FW,佐野海舟,マインツ,71,87.7,ヨーロッパ,ドイツ
サウジアラビア,MF,モハメド・カンノ,フィオレンティーナ,72,87.7,ヨーロッパ,イタリア
セネガル,DF,カリドゥ・クリバリ,AEKアテネ,73,87.5,ヨーロッパ,ギリシャ
チェコ,GK,インジフ・スタニェク,ストラスブール,74,87.4,ヨーロッパ,フランス
チェコ,DF,シュテパン・チャロウペク,ストラスブール,74,87.4,ヨーロッパ,フランス
チェコ,DF,ダヴィド・ジマ,ストラスブール,74,87.4,ヨーロッパ,フランス
チェコ,DF,ダヴィド・ドウデラ,ストラスブール,74,87.4,ヨーロッパ,フランス
フランス,DF,テオ・エルナンデス,ストラスブール,74,87.4,ヨーロッパ,フランス
ポルトガル,MF,ルベン・ネヴェス,ストラスブール,74,87.4,ヨーロッパ,フランス
モロッコ,GK,ヤシン・ブヌ,ストラスブール,74,87.4,ヨーロッパ,フランス
ガーナ,DF,アブドゥル・ムミン,アル・ヒラル,75,87.3,アジア,サウジアラビア
スイス,DF,エライ・キュマルト,アル・ヒラル,75,87.3,アジア,サウジアラビア
スウェーデン,DF,カール・スターフェルト,アル・ヒラル,75,87.3,アジア,サウジアラビア
スペイン,FW,ボルハ・イグレシアス,アル・ヒラル,75,87.3,アジア,サウジアラビア
セネガル,MF,パテ・イスマエル・シス,アル・ヒラル,75,87.3,アジア,サウジアラビア
チェコ,DF,ダヴィド・ユラーセク,アル・ヒラル,75,87.3,アジア,サウジアラビア
チェコ,FW,トマーシュ・ホリース,アル・ヒラル,75,87.3,アジア,サウジアラビア
チェコ,DF,トマーシュ・ホレシュ,アル・ヒラル,75,87.3,アジア,サウジアラビア
チェコ,MF,ミハル・サディーレク,アル・ヒラル,75,87.3,アジア,サウジアラビア
チェコ,FW,モイミール・ヒティル,アル・ヒラル,75,87.3,アジア,サウジアラビア
チェコ,MF,ルカーシュ・プロヴォド,アル・ヒラル,75,87.3,アジア,サウジアラビア
ノルウェー,DF,ヘンリク・ファルヘナー,アル・ヒラル,75,87.3,アジア,サウジアラビア
エクアドル,MF,ジョルディ・アルシバル,ゼニト,76,86.3,ヨーロッパ,ロシア
韓国,MF,イ・ジェソン,ゼニト,76,86.3,ヨーロッパ,ロシア
クロアチア,DF,マリン・ポングラチッチ,レアル・ソシエダ,78,87,ヨーロッパ,スペイン
クロアチア,DF,ドゥイェ・チャレタ＝ツァル,レアル・ソシエダ,78,87,ヨーロッパ,スペイン
スコットランド,FW,ロス・スチュワート,レアル・ソシエダ,78,87,ヨーロッパ,スペイン
ブラジル,DF,ドウグラス・サントス,レアル・ソシエダ,78,87,ヨーロッパ,スペイン
ブラジル,FW,ルイス・エンヒキ,レアル・ソシエダ,78,87,ヨーロッパ,スペイン
クロアチア,MF,ルカ・スチッチ,アスレティック・ビルバオ,79,87,ヨーロッパ,スペイン
スペイン,FW,ミケル・オヤルサバル,アスレティック・ビルバオ,79,87,ヨーロッパ,スペイン
ポルトガル,FW,ゴンサロ・ゲデス,アスレティック・ビルバオ,79,87,ヨーロッパ,スペイン
日本,MF/FW,久保建英,アスレティック・ビルバオ,79,87,ヨーロッパ,スペイン
アルジェリア,MF,ファレス・シャイビ,ミッティラン,81,86.9,ヨーロッパ,デンマーク
ウルグアイ,MF,フアン・マヌエル・サナブリア,ミッティラン,81,86.9,ヨーロッパ,デンマーク
スイス,DF,オーレル・アメンダ,ミッティラン,81,86.9,ヨーロッパ,デンマーク
メキシコ,MF,オルベリン・ビネダ,ミッティラン,81,86.9,ヨーロッパ,デンマーク
チュニジア,MF,エリース・スキリ,インデペンディエンテ,82,86.8,南アメリカ,アルゼンチン
ドイツ,DF,ナサニエル・ブラウン,インデペンディエンテ,82,86.8,南アメリカ,アルゼンチン
トルコ,FW,ジャン・ウズン,インデペンディエンテ,82,86.8,南アメリカ,アルゼンチン
アルゼンチン,DF,ゴンサロ・モンティエル,リーベル・プレート,83,86.7,南アメリカ,アルゼンチン
ウルグアイ,DF,マティアス・ビーニャ,リーベル・プレート,83,86.7,南アメリカ,アルゼンチン
エクアドル,MF,ケンドリー・パエス,リーベル・プレート,83,86.7,南アメリカ,アルゼンチン
コロンビア,MF,ケビン・カスターニョ,リーベル・プレート,83,86.7,南アメリカ,アルゼンチン
コロンビア,MF,フアン・フェルナンド・キンテロ,リーベル・プレート,83,86.7,南アメリカ,アルゼンチン
ベルギー,DF,アルトゥール・テアテ,フルミネンセ,84,86.6,南アメリカ,ブラジル
ウルグアイ,GK,フェルナンド・ムスレラ,エストゥディアンテス,85,86.6,南アメリカ,アルゼンチン
韓国,DF,イェンス・カストロップ,エストゥディアンテス,85,86.6,南アメリカ,アルゼンチン
モロッコ,FW,アユブ・アマイムニ,ウディネーゼ,86,86.5,ヨーロッパ,イタリア
イラン,FW,メフディ・ガエディ,トゥールーズ,87,86.5,ヨーロッパ,フランス
ガーナ,FW,イニャキ・ウィリアムズ,アル・ナスル,88,86.4,アジア,サウジアラビア
サウジアラビア,MF,アイマン・ヤヒヤ,アル・ナスル,88,86.4,アジア,サウジアラビア
サウジアラビア,DF,アブドゥレラー・アル・アムリ,アル・ナスル,88,86.4,アジア,サウジアラビア
サウジアラビア,MF,アブドッラー・アル・ハイバリー,アル・ナスル,88,86.4,アジア,サウジアラビア
サウジアラビア,FW,アブドッラー・アル・ハムデン,アル・ナスル,88,86.4,アジア,サウジアラビア
サウジアラビア,GK,ナワフ・アル・アキディ,アル・ナスル,88,86.4,アジア,サウジアラビア
サウジアラビア,DF,ナワフ・ブシャル,アル・ナスル,88,86.4,アジア,サウジアラビア
セネガル,FW,サディオ・マネ,アル・ナスル,88,86.4,アジア,サウジアラビア
ポルトガル,FW,クリスティアーノ・ロナウド,アル・ナスル,88,86.4,アジア,サウジアラビア
ポルトガル,FW,ジョアン・フェリックス,アル・ナスル,88,86.4,アジア,サウジアラビア
アメリカ,DF,マーク・マッケンジー,フランクフルト,89,86.3,ヨーロッパ,ドイツ
アルゼンチン,FW,リオネル・メッシ,フランクフルト,89,86.3,ヨーロッパ,ドイツ
アルゼンチン,MF,ロドリゴ・デ・パウル,フランクフルト,89,86.3,ヨーロッパ,ドイツ
オランダ,FW,クリセンシオ・サマーフィル,フランクフルト,89,86.3,ヨーロッパ,ドイツ
カナダ,GK,デイン・セント・クレア,フランクフルト,89,86.3,ヨーロッパ,ドイツ
コンゴ民主共和国,DF,アーロン・ワン＝ビサカ,フランクフルト,89,86.3,ヨーロッパ,ドイツ
スウェーデン,MF,イェスパー・カールストレーム,フランクフルト,89,86.3,ヨーロッパ,ドイツ
ブラジル,MF,ダニーロ,フランクフルト,89,86.3,ヨーロッパ,ドイツ
セネガル,DF,エル・ハッジ・マリック・ディウフ,サウサンプトン,90,86.3,ヨーロッパ,イングランド
コロンビア,DF,サンティアゴ・アリアス,PAOK,91,86.2,ヨーロッパ,ギリシャ
チェコ,MF,トマーシュ・ソウチェク,PAOK,91,86.2,ヨーロッパ,ギリシャ
パラグアイ,FW,アレックス・アルセ,フェレンツヴァーロシュ,92,86.2,ヨーロッパ,ハンガリー
メキシコ,DF,ホルヘ・サンチェス,ボタフォゴ,94,86.2,南アメリカ,ブラジル
コロンビア,MF,レアンドロ・カンパス,ロサリオ・セントラル,95,86.2,南アメリカ,アルゼンチン
オーストリア,FW,ミヒャエル・グレゴリッチュ,オサスナ,96,86.1,ヨーロッパ,スペイン
クロアチア,MF,クリスティヤン・ヤキッチ,オサスナ,96,86.1,ヨーロッパ,スペイン
パラグアイ,FW,イシドロ・ピッタ,レッドブル・ブラガンチーノ,99,86,南アメリカ,ブラジル
コロンビア,GK,ダビド・オスピナ,アトレティコ・ナショナル,100,85.9,南アメリカ,コロンビア
エクアドル,DF,ヤイマル・メディナ,ヘンク,101,85.9,ヨーロッパ,ベルギー
コンゴ民主共和国,DF,ジョリス・カイェンベ,ヘンク,101,85.9,ヨーロッパ,ベルギー
モロッコ,DF,ザカリア・エル・ワディ,ヘンク,101,85.9,ヨーロッパ,ベルギー
日本,MF/FW,伊東純也,ヘンク,101,85.9,ヨーロッパ,ベルギー
オーストラリア,GK,マシュー・ライアン,レバンテ,102,85.9,ヨーロッパ,スペイン
ウルグアイ,MF,アグスティン・カノッビオ,ウェストハム・ユナイテッド,103,85.9,ヨーロッパ,イングランド
スペイン,DF,アイメリク・ラポルテ,ウェストハム・ユナイテッド,103,85.9,ヨーロッパ,イングランド
スペイン,FW,ニコ・ウィリアムズ,ウェストハム・ユナイテッド,103,85.9,ヨーロッパ,イングランド
